99990, Virginia Robbins, 55, 60, 225 
99959, Robert Hughey, 73, 60, 284 
99925, Jo Krug, 97, 60, 185 
99906, Donald Newman, 33, 60, 298 
99884, Eva Oh, 88, 60, 205 
99861, Janet Resch, 39, 60, 170 
99826, Laurie Sowell, 99, 60, 223 
99808, Sandra Tulloch, 51, 60, 129 
99799, Vernon Brown, 73, 60, 111 
99761, Eric Phillips, 43, 60, 226 
99730, Lee Fabian, 65, 60, 275 
99698, Wilda Rodriquez, 39, 60, 275 
99691, Irene Serrano, 42, 60, 214 
99683, Loretta Villa, 52, 60, 148 
99677, Lisa Jeffery, 88, 60, 107 
99661, Donald Perez, 83, 60, 290 
99638, Gail Shaw, 59, 60, 111 
99628, Samuel Click, 76, 60, 254 
99623, Tyrone Wolfe, 90, 60, 261 
99615, Matthew Sampson, 91, 60, 249 
99610, Christopher Montoya, 92, 60, 169 
99606, Mary Beisch, 32, 60, 177 
99561, Maria Jacobs, 87, 60, 273 
99526, William Brown, 50, 60, 137 
99509, Michael Alligood, 53, 60, 219 
99456, Elsie Anderton, 64, 60, 153 
99429, Joshua Eslinger, 92, 60, 186 
99400, Karen Beresford, 86, 60, 222 
99396, John Bell, 92, 60, 214 
99385, John Dufrene, 97, 60, 262 
99345, Arthur Wall, 24, 60, 238 
99330, John Davis, 100, 60, 203 
99327, Janet Ward, 31, 60, 296 
99304, Laura Cotton, 32, 60, 243 
99285, Tawana Rank, 23, 60, 232 
99271, Grace Broe, 66, 60, 249 
99249, Brooke Devlin, 35, 60, 253 
99194, Felipe Silmon, 67, 60, 200 
99179, Kathy Merritt, 49, 60, 188 
99172, John Billings, 47, 60, 152 
99159, Nicholas Miller, 95, 60, 198 
99109, Douglas Jimenez, 32, 60, 167 
99097, Michael Staples, 72, 60, 218 
99048, Shawn Landau, 51, 60, 177 
99045, James Black, 53, 60, 149 
98992, Patrick Layne, 57, 60, 271 
98987, Tyrone Reilly, 57, 60, 105 
98974, James Lee, 41, 60, 146 
98907, Katherine Mikrot, 86, 60, 258 
98893, Lisa Harris, 99, 60, 136 
98870, Jonathan Cintron, 57, 60, 182 
98859, Benny Britt, 53, 60, 100 
98809, Charles Uresti, 49, 60, 134 
98726, Gabrielle Tipton, 56, 60, 142 
98723, Julie Mccartney, 27, 60, 297 
98667, Delia Reyes, 37, 60, 171 
98656, Amy Zellinger, 48, 60, 289 
98627, Nancy Ratliff, 76, 60, 221 
98591, Margaret Guerrera, 61, 60, 288 
98586, Gina King, 78, 60, 269 
98565, Maria Friedle, 36, 60, 111 
98557, Maria Naccarato, 73, 60, 180 
98540, Katrina Miller, 36, 60, 208 
98539, Tracy Leavitt, 70, 60, 262 
98530, Michael Bailey, 82, 60, 173 
98512, Anna Johnson, 61, 60, 212 
98494, Anne Ebrahim, 48, 60, 110 
98488, Lawrence Roberts, 54, 60, 225 
98487, Emily Sailors, 42, 60, 284 
98464, Toby Adams, 66, 60, 186 
98447, Kenneth Brevard, 95, 60, 120 
98441, Victoria Benavides, 68, 60, 138 
98438, Louella Jantzen, 77, 60, 133 
98412, Juanita Irving, 54, 60, 217 
98374, Sandra Hilty, 36, 60, 178 
98336, Michelle Brown, 61, 60, 196 
98325, Frank Fordham, 46, 60, 186 
98322, Kim Marvin, 36, 60, 281 
98258, Michelle Parker, 89, 60, 116 
